year,donor,type_donor,amount_nominal,issue_area
2000,Madagascar,public,12350,Health
2000,Macedonia,public,4984.477539,Humanitarian Law and Action
2007,Belize,public,3094.056313,"Labour, Economic Affairs, Science"
2003,NA,private,1804,Humanitarian Law and Action
2018,Switzerland,public,1198.507388,Humanitarian Law and Action
2000,Gabon,public,27736.14836,"Labour, Economic Affairs, Science"
2018,Latter-Day Saints (LDS) Charities,private,232000,Health
2020,NA,private,3613328,Humanitarian Law and Action
2020,Spain,public,10510087,Health
2006,Brunei Darussalam,public,49872.27268,"Labour, Economic Affairs, Science"
2010,Malaysia,public,21851.44203,"Labour, Economic Affairs, Science"
2002,Germany,public,23893744.22,"Labour, Economic Affairs, Science"
2016,UN,public,2200000,Health
2016,Xuzhou Nuote Chemical Co. Ltd,private,3000,Health
2003,Cameroon,public,31931.5,Health
2010,Montenegro,public,8474.097658,Peace
2004,China,public,2000000,Health
2019,Serbia,public,18130.86463,Humanitarian Law and Action
2001,Hungary,public,43234.97954,Humanitarian Law and Action
2021,University of Birmingham,private,27000,Health
2008,Slovenia,public,285798.9641,"Labour, Economic Affairs, Science"
2003,Malawi,public,5705.264393,"Labour, Economic Affairs, Science"
2015,Luxembourg,public,40265.75753,Humanitarian Law and Action
2013,Latvia,public,148359.4849,"Labour, Economic Affairs, Science"
2015,Qatar,public,826544.7884,"Labour, Economic Affairs, Science"
2020,UN,public,687672,Humanitarian Law and Action
2020,Individuals,private,2755784.193,Humanitarian Law and Action
2018,Chile,public,1551709.151,"Labour, Economic Affairs, Science"
2007,Kyrgyzstan,public,2176.820471,Peace
2012,Namibia,public,88399,Humanitarian Law and Action
2018,Bloomberg Family Foundation,private,1250000,Health
2010,Namibia,public,1208.162576,Humanitarian Law and Action
2016,NA,private,18899,Humanitarian Law and Action
2004,Vietnam,public,36647.49577,Peace
2019,Italy,public,900000,Health
2006,Andorra,public,22330,Health
2019,European Union,public,580232519,Humanitarian Law and Action
2016,Samoa,public,4650,Health
2005,Zambia,public,21510.19494,"Labour, Economic Affairs, Science"
2016,Benin,public,1524.263391,Humanitarian Law and Action
2020,Saudi Arabia,public,1350000,Health
2017,"Nordic Council of Ministers, Denmark",private,28500,Health
2010,Iceland,public,122268.9293,Humanitarian Law and Action
2020,South Korea,public,5379000,Health
2016,UN,public,1900000,Health
2005,Hungary,public,40148,Humanitarian Law and Action
2020,Iraq,public,12136.60739,"Labour, Economic Affairs, Science"
2019,Velux Stiftung,private,196500,Health
2010,Finland,public,1233046,Humanitarian Law and Action
2005,Cambodia,public,36298.45395,"Labour, Economic Affairs, Science"
2008,United Arab Emirates,public,577043.499,Peace
2020,Maldives,public,11418.18179,Peace
2021,Austria,public,500000,Health
2005,Colombia,public,240368.2368,Humanitarian Law and Action
2020,Lithuania,public,347724,Health
2016,Luxembourg,public,900000,Health
2016,Holcim Ltd,private,507411.2487,Humanitarian Law and Action
2007,Lebanon,public,34030.45404,Humanitarian Law and Action
2018,Germany,public,9806471,Humanitarian Law and Action
2004,Bulgaria,public,29667.06089,Peace
2019,Lesotho,public,3826.821967,"Labour, Economic Affairs, Science"
2010,Colombia,public,25000,Humanitarian Law and Action
2015,Ireland,public,207831.4098,Humanitarian Law and Action
2020,Lithuania,public,405290,Humanitarian Law and Action
2016,China,public,19799126.03,"Labour, Economic Affairs, Science"
2011,Central African Republic,public,3641.719648,"Labour, Economic Affairs, Science"
2009,Fondation pour le Comite International de la Croix Rouge,private,278227.474,Humanitarian Law and Action
2005,Czech Republic,public,745276,Humanitarian Law and Action
2015,Guatemala,public,142199.3992,"Labour, Economic Affairs, Science"
2012,Denmark,public,17412006.6,Humanitarian Law and Action
2018,Gabon,public,67973.36696,"Labour, Economic Affairs, Science"
2020,Fondation pour le Comite International de la Croix Rouge,private,622007.7857,Humanitarian Law and Action
2017,NA,private,1095,Humanitarian Law and Action
2016,Belgium,public,900000,Health
2015,Slovenia,public,49733.94113,Humanitarian Law and Action
2015,Poland,public,2275190.387,"Labour, Economic Affairs, Science"
2012,Lao PDR,public,810.507591,Humanitarian Law and Action
2017,Sri Lanka,public,119241.3465,"Labour, Economic Affairs, Science"
2015,Canada,public,55746107,Humanitarian Law and Action
2019,Israel,public,30835.5,Health
2017,Vestergaard Frandsen A/S,private,454.5,Health
2013,Argentina,public,150468.6569,Humanitarian Law and Action
2016,Thailand,public,700000,Health
2013,Vietnam,public,847887.1598,"Labour, Economic Affairs, Science"
2008,Honduras,public,3700564,Humanitarian Law and Action
2005,Azerbaijan,public,5000,Humanitarian Law and Action
2014,Thailand,public,992882.1777,"Labour, Economic Affairs, Science"
2021,South Korea,public,3600000,Health
2016,South Korea,public,4000000,Health
2005,Lithuania,public,35840,Health
2021,Saudi Arabia,public,13600000,Health
2007,Tunisia,public,8036.715468,Humanitarian Law and Action
2019,Belgium,public,4253936,Health
2020,Colombia,public,8994387,Humanitarian Law and Action
2015,Switzerland,public,207.8179016,Humanitarian Law and Action
2014,Paraguay,public,1219,Humanitarian Law and Action
2000,Sierra Leone,public,3950,Health
2004,Peru,public,24595,Health
2015,United States,public,22979422.91,"Labour, Economic Affairs, Science"
2021,UN,public,52000,Health
2020,UN,public,154786,Humanitarian Law and Action
2019,United Kingdom,public,21450866,Health
2011,Qatar,public,10000,Humanitarian Law and Action
2006,Israel,public,759166.8175,"Labour, Economic Affairs, Science"
2015,Thailand,public,945186.9894,"Labour, Economic Affairs, Science"
2016,Merck Ltd.,private,3150000,Health
2018,Trinidad and Tobago,public,127949.8672,"Labour, Economic Affairs, Science"
2008,NA,public,107727889.6,"Labour, Economic Affairs, Science"
2004,Turkey,public,652737.4382,Peace
2010,Trinidad and Tobago,public,10873.46319,Humanitarian Law and Action
2011,Portugal,public,1202408.175,Peace
2002,Spain,public,2250104.099,"Labour, Economic Affairs, Science"
2012,Vietnam,public,80435.7013,Peace
2020,India,public,26500,Health
2020,South Korea,public,10400000,Health
2018,South Africa,public,1415593.686,"Labour, Economic Affairs, Science"
2019,Nepal,public,407.5369173,"Labour, Economic Affairs, Science"
2007,Armenia,public,8930,Health
2021,Velux Stiftung,private,5000,Health
2017,Macedonia,public,53605.59444,"Labour, Economic Affairs, Science"
2013,Zimbabwe,public,3073.673218,"Labour, Economic Affairs, Science"
2002,Morocco,public,49116.32564,Peace
2010,Norway,public,76483608,Health
2016,Turkmenistan,public,88260,Health
2011,Morocco,public,396020.6837,"Labour, Economic Affairs, Science"
2019,Finland,public,258040.3009,Humanitarian Law and Action
2020,Bulgaria,public,131309.5484,Peace
2014,Ecuador,public,1551.054357,"Labour, Economic Affairs, Science"
2011,Guinea-Bissau,public,2353.058873,Peace
2012,Honduras,public,27767.35019,"Labour, Economic Affairs, Science"
2019,Oman,public,543094,Health
2002,Zambia,public,8177,Health
2019,Indonesia,public,1733143.82,"Labour, Economic Affairs, Science"
2008,Bulgaria,public,80892,Humanitarian Law and Action
2012,Lao PDR,public,3859.509174,"Labour, Economic Affairs, Science"
2016,ITU,public,38500,Health
2016,International Company for Medical Necessities,private,1500,Health
2002,NA,private,4023,Humanitarian Law and Action
2018,NA,private,227583463.5,"Labour, Economic Affairs, Science"
2005,Brazil,public,5082818,Health
2019,Burkina Faso,public,1432.919927,"Labour, Economic Affairs, Science"
2002,Netherlands,public,1911169.889,Peace
2009,Japan,public,27760413.62,Humanitarian Law and Action
2016,Japan Tobacco International SA,private,130411,"Labour, Economic Affairs, Science"
2011,Sri Lanka,public,9136.955234,Humanitarian Law and Action
2020,NA,private,12606346,Humanitarian Law and Action
2020,"INDITEX, Industria del diseno textil S.A.",private,12186,"Labour, Economic Affairs, Science"
2017,NA,private,198809,"Labour, Economic Affairs, Science"
2008,International Olympic Committee,private,101561.2738,Humanitarian Law and Action
2011,Brazil,public,2236094.689,"Labour, Economic Affairs, Science"
2010,Malta,public,36014.91505,Peace
2019,UN,public,75011,Humanitarian Law and Action
2020,Cyprus,public,131180.803,"Labour, Economic Affairs, Science"
2008,Belgium,public,4326405.008,"Labour, Economic Affairs, Science"
2002,Mauritania,public,13675.67321,"Labour, Economic Affairs, Science"
2010,Turkey,public,153546.916,Humanitarian Law and Action
2003,Croatia,public,11757.315,Humanitarian Law and Action
2020,Albania,public,33684.27779,"Labour, Economic Affairs, Science"
2006,Open Society Foundation,private,22000,Health
2018,Helmholtz-Zentrum Geesthacht Zentrum fur Material-und Kustenforschung GmbH (HZG),private,4356,Health
2020,Thailand,public,1292618.45,"Labour, Economic Affairs, Science"
2018,Tanzania,public,38890.13307,"Labour, Economic Affairs, Science"
2004,Finland,public,2246200,Health
2017,South Korea,public,7846828.247,"Labour, Economic Affairs, Science"
2014,European Union,public,1139180.421,Health
2013,Barbados,public,21027.00404,Peace
2002,Spain,public,842458.0411,Humanitarian Law and Action
2015,NA,private,51857064,Humanitarian Law and Action
2017,Rwanda,public,9290,Health
2019,Slovenia,public,403722,Health
2004,France,public,71214,Humanitarian Law and Action
2013,Suriname,public,10513.50202,Peace
2020,China,public,21453266.87,"Labour, Economic Affairs, Science"
2021,Luxembourg,public,900000,Health
2020,NA,private,3041449,Humanitarian Law and Action
2012,European Union,public,0,"Labour, Economic Affairs, Science"
2009,Estonia,public,268352,Humanitarian Law and Action
2016,New Zealand,public,972466.8508,"Labour, Economic Affairs, Science"
2018,Portugal,public,1892729,Health
2020,UN,public,21000,Health
2017,Costa Rica,public,144933.6442,"Labour, Economic Affairs, Science"
2016,Bristol-Myers Squibb,private,301000,Health
2008,China,public,8767786.611,"Labour, Economic Affairs, Science"
2016,Andorra,public,11563.90236,"Labour, Economic Affairs, Science"
2016,UN,public,5000,Humanitarian Law and Action
2020,Ireland,public,1059040.253,Peace
2013,Kyrgyzstan,public,5256.802582,Peace
2015,Rwanda,public,1479.66346,"Labour, Economic Affairs, Science"
2009,Nepal,public,7635.473827,Peace
2008,Morocco,public,510000,Humanitarian Law and Action
2002,Ghana,public,20963,Health
2011,Estonia,public,175124.6,"Labour, Economic Affairs, Science"
2010,Slovakia,public,131111.5287,"Labour, Economic Affairs, Science"
2016,Spain,public,876500,Health
2014,Guinea,public,76.40661856,"Labour, Economic Affairs, Science"
2008,Angola,public,10931.68619,"Labour, Economic Affairs, Science"
2020,Egypt,public,110729.1018,Humanitarian Law and Action
2018,Vontobel,private,78639.26462,Humanitarian Law and Action
2004,Norway,public,2821375,Health
2010,Afghanistan,public,153125.018,Humanitarian Law and Action
2020,NA,private,910973,Humanitarian Law and Action
2017,Brunei Darussalam,public,134700,Health
2017,Lebanon,public,132747,Humanitarian Law and Action
2000,Japan,public,9573690,Humanitarian Law and Action
2016,Japan,public,7550000,Health
2007,Angola,public,317175,Humanitarian Law and Action
2007,Ireland,public,3620219,Humanitarian Law and Action
2021,Johnson & Johnson Ltd.,private,202500,Health
2018,Peru,public,427832.3685,"Labour, Economic Affairs, Science"
2010,Tunisia,public,7804.154929,Humanitarian Law and Action
2018,Armenia,public,98000,Humanitarian Law and Action
2005,Maldives,public,2162.511771,Peace
2010,Guatemala,public,5462.620792,"Labour, Economic Affairs, Science"
2000,NA,private,2316,Humanitarian Law and Action
2016,Gates Foundation,private,198700000,Health
2018,Norway,public,1511407.806,"Labour, Economic Affairs, Science"
2013,Kyrgyzstan,public,12293.61401,"Labour, Economic Affairs, Science"
2000,Mongolia,public,8165,Health
2009,Netherlands,public,4767112.48,Peace
2020,Malta,public,48527.45066,Peace
2018,UN,public,331000,Health
2020,Guinea-Bissau,public,2854.520008,Peace
2020,NA,private,34330337,Humanitarian Law and Action
2018,Zimbabwe,public,19130,Health
2019,Seychelles,public,29508.69161,"Labour, Economic Affairs, Science"
2010,Slovenia,public,263375.6062,Humanitarian Law and Action
2015,Saudi Arabia,public,47360.66069,"Labour, Economic Affairs, Science"
2008,Montenegro,public,1910.722767,Peace
2018,Finland,public,27500,Health
2002,Namibia,public,7640.32169,Peace
2020,Sasakawa Health Foundation,private,125000,Health
2019,AO Foundation,private,197500,Health
2019,Sabin Vaccine Institute (SVI),private,20000,Health
2002,Espa<U+00F1>a con ACNUR (SPA),private,1865077,Humanitarian Law and Action
2021,United Arab Emirates,public,19000,Health
2018,Austria,public,1975226.075,"Labour, Economic Affairs, Science"
2019,Hilfsaktion Noma e.V.,private,45000,Health
2014,Z Zurich Foundation,private,1106198,"Labour, Economic Affairs, Science"
2001,Kenya,public,1000,Humanitarian Law and Action
2019,NA,NA,2300000,Health
2002,Czech Republic,public,460819.5,Health
2019,Panama,public,162670,Health
2016,NA,private,210,Humanitarian Law and Action
2012,Netherlands,public,18700000,Health
2011,Kazakhstan,public,49975,Humanitarian Law and Action
2019,Georgia,public,20000,Humanitarian Law and Action
2010,Singapore,public,709705.8793,Peace
2004,Cyprus,public,40000,Humanitarian Law and Action
2018,Costa Rica,public,15413,Humanitarian Law and Action
2006,Sweden,public,2959479.775,"Labour, Economic Affairs, Science"
2002,Italy,public,5570879.949,Peace
2016,Armenia,public,22500,Health
2016,OPEC,public,297901.1441,Humanitarian Law and Action
2002,Mozambique,public,4100.5,Health
2020,UN,public,3350000,Health
2006,Panama,public,28230.80721,Humanitarian Law and Action
2016,San Marino,public,20296.44995,Humanitarian Law and Action
2014,United States,public,400200563,Humanitarian Law and Action
2011,China,public,7503873.888,Peace
2020,Sweden,public,66500,Health
2003,Portugal,public,653276.9069,"Labour, Economic Affairs, Science"
2017,Ireland,public,150332.5,Health
2019,Australia,public,8040500,Health
2020,Gojo Industries Inc.,private,5500,Health
2010,Slovenia,public,357887.4798,"Labour, Economic Affairs, Science"
2020,Australia,public,56562397,Humanitarian Law and Action
2018,New Venture Fund (NVF),private,94000,Health
2021,Nippon Foundation,private,252000,Health
2017,Tajikistan,public,10276.16187,Peace
2008,Italy,public,6499462.649,"Labour, Economic Affairs, Science"
2002,Sri Lanka,public,39432.64723,"Labour, Economic Affairs, Science"
2017,NA,private,1932510.876,Humanitarian Law and Action
2016,GAVI,public,16800000,Health
2018,Bloomberg Family Foundation,private,137000,Health
2014,Bahamas,public,35579.28769,Humanitarian Law and Action
2016,"Saerfu (Henan) Agrochemical Co., Ltd",private,12500,Health
2004,Yemen,public,25365,Health
2005,UN,public,9474.958179,Humanitarian Law and Action
2015,Cambodia,public,79225.37955,"Labour, Economic Affairs, Science"
2000,Netherlands,public,8779633,Humanitarian Law and Action
2009,United Kingdom,public,44877405.92,Health
2001,Costa Rica,public,20792.23136,Peace
2004,Sweden,public,1800183.515,"Labour, Economic Affairs, Science"
2006,Qatar,public,149616.8181,"Labour, Economic Affairs, Science"
2015,United States,public,200000000,Health
2018,UN,public,371000,Health
2017,Japan Tobacco International SA,private,44802,"Labour, Economic Affairs, Science"
2015,Turkmenistan,public,56788.54762,Peace
2019,KNCV Tuberculosis Foundation,private,1400000,Health
2009,South Africa,public,16977,Humanitarian Law and Action
2017,Malaysia,public,23143.27729,"Labour, Economic Affairs, Science"
2019,ITU,public,56500,Health
2016,Australia,public,1550000,Health
2016,Zurich Insurance Group,private,507411.2487,Humanitarian Law and Action
2014,Burkina Faso,public,32008.91556,"Labour, Economic Affairs, Science"
2012,United Kingdom,public,25498396.05,"Labour, Economic Affairs, Science"
2021,Carter Center,private,139500,Health
2002,Australia,public,1110464.665,"Labour, Economic Affairs, Science"
2015,Honduras,public,2960.366009,"Labour, Economic Affairs, Science"
2005,Paraguay,public,25950.26277,Peace
2020,Armenia,public,98000,Humanitarian Law and Action
2012,Tajikistan,public,924.6185282,Humanitarian Law and Action
2017,Montenegro,public,2213.890232,Humanitarian Law and Action
2008,Malawi,public,24637.84173,"Labour, Economic Affairs, Science"
2009,South Korea,public,827284.4904,Humanitarian Law and Action
2013,Slovenia,public,262838.2725,Peace
2020,Saudi Arabia,public,26000000,Health
2005,Nicaragua,public,25543.35649,"Labour, Economic Affairs, Science"
2014,Novartis Foundation,private,572756.0195,Humanitarian Law and Action
2021,Velux Stiftung,private,4500,Health
2008,Germany,public,30717343.9,Humanitarian Law and Action
2009,Denmark,public,31873000,Health
2013,North Macedonia,public,21027.00404,Peace
2001,New Zealand,public,190681,Humanitarian Law and Action
2013,Kyrgyzstan,public,67014,Humanitarian Law and Action
2003,Venezuela,public,360901.2283,"Labour, Economic Affairs, Science"
2010,Netherlands,public,74079339,Humanitarian Law and Action
2001,Lesotho,public,1039.626645,Peace
2007,Medicor Foundation,private,890811.2138,Health
2007,Sierra Leone,public,22555.62054,"Labour, Economic Affairs, Science"
2005,Odeon Foundation,private,25177.14349,Humanitarian Law and Action
2013,Jamaica,public,4392,Humanitarian Law and Action
2002,Portugal,public,120693.0291,Humanitarian Law and Action
2020,Fondation Botnar (FB),private,1800000,Health
2016,Global Alliance for Improved Nutrition (GAIN),private,3781.5,Health
2016,Lao PDR,public,7687.280418,"Labour, Economic Affairs, Science"
2004,Azerbaijan,public,19100,Health
2017,Fondation d'Entreprise Sanofi Espoir,private,107500,Health
2004,Switzerland,public,2088906.651,Peace
2013,Finland,public,260645.1154,Humanitarian Law and Action
2019,UN,public,1100000,Health
2019,UN,public,3000,Health
2020,Cuba,public,228364.5515,Peace
2010,Montenegro,public,415.1860283,Humanitarian Law and Action
2004,Romania,public,19135.56618,Humanitarian Law and Action
2006,Lithuania,public,44561.7171,Peace
2017,Medecins Sans Frontieres,private,4982538.528,Health
2007,Eritrea,public,4470,Health
2003,United Kingdom,public,40033000,Health
2017,Switzerland,public,5096856,Health
2014,El Salvador,public,8051.07455,Humanitarian Law and Action
2020,Tajikistan,public,11418.18179,Peace
2000,Bhutan,public,1057.317285,Peace
2020,Netherlands,public,14697143,Humanitarian Law and Action
2003,Eswatini (formerly known as Swaziland),public,18273.47991,"Labour, Economic Affairs, Science"
2010,Itau Unibanco SA,private,1205060.667,Humanitarian Law and Action
2009,Slovenia,public,60000,Health
2020,Andorra,public,23930,Health
2009,Austria,public,337692.1394,Humanitarian Law and Action
2012,Micronesia (Federated States of),public,3038.337009,"Labour, Economic Affairs, Science"
2021,East African Community,private,2550000,Health
2013,Grenada,public,31637.58059,"Labour, Economic Affairs, Science"
2008,PricewaterhouseCoopers Ltd.,private,2261,Humanitarian Law and Action
2016,Finland,public,28052847,Humanitarian Law and Action
2020,Nicaragua,public,14272.70179,Peace
2011,Norway,public,3817718.081,"Labour, Economic Affairs, Science"
2018,Botswana,public,66980,Health
2010,Congo,public,59930.61695,"Labour, Economic Affairs, Science"
2003,Nicaragua,public,75576.37428,Humanitarian Law and Action
2019,WHO,public,33294,Humanitarian Law and Action
2015,Samoa,public,30471.29983,"Labour, Economic Affairs, Science"
2021,UN,public,21500,Health
2013,Bolivia,public,23655.40533,Peace
2013,Nepal,public,23425.29539,"Labour, Economic Affairs, Science"
2007,Belgium,public,10997131,Humanitarian Law and Action
2005,Grenada,public,1031.981799,"Labour, Economic Affairs, Science"
2000,Micronesia (Federated States of),public,3615,Health
2019,Nippon Foundation,private,1150000,Health
2017,Mexico,public,6415657,Health
2014,Switzerland,public,32745.69367,Humanitarian Law and Action
2014,Papua New Guinea,public,49080.33719,"Labour, Economic Affairs, Science"
2017,Austria,public,2769469.032,"Labour, Economic Affairs, Science"
2007,Australia,public,529240.2484,Humanitarian Law and Action
2017,Peru,public,607992,Health
2020,Sri Lanka,public,15000,Humanitarian Law and Action
2005,Bulgaria,public,135783.1055,"Labour, Economic Affairs, Science"
2019,Albania,public,80.50111947,"Labour, Economic Affairs, Science"
2008,Jamaica,public,75556.04797,"Labour, Economic Affairs, Science"
2019,Medecins Sans Frontieres,private,6655454.753,Health
2016,Panama,public,240061.3359,"Labour, Economic Affairs, Science"
2013,Iraq,public,178730.0501,Peace
2008,Iraq,public,8000000,Humanitarian Law and Action
2020,Timor-Leste,public,9570,Health
2019,Bosnia and Herzegovina,public,34045.74505,Peace
2017,Croatia,public,254336.5087,Peace
2016,Somalia,public,1445.107236,"Labour, Economic Affairs, Science"
2002,Papua New Guinea,public,6548.889288,Peace
2017,UN,public,4000000,Health
2012,Botswana,public,69466.8993,"Labour, Economic Affairs, Science"
2011,Burkina Faso,public,7059.076433,Peace
2012,IOM,public,132185,Humanitarian Law and Action
2015,Lions Club International,private,7500000,Health
2003,Holy See,public,10307.0506,Humanitarian Law and Action
2018,Poland,public,1087807.028,Humanitarian Law and Action
2016,Gates Foundation,private,2000000,Health
2019,Albania,public,22697.16337,Peace
2018,Brien Holden Vision Institute (BHVI),private,11000,Health
2011,Denmark,public,30723000,Health
2006,Sweden,public,14261732,Humanitarian Law and Action
2008,NA,private,50,Humanitarian Law and Action
2003,Austria,public,2881241,Health
2009,Chile,public,100000,Humanitarian Law and Action
2016,Niger,public,5.074112487,"Labour, Economic Affairs, Science"
2018,John D. and Catherine T. Macarthur Foundation,private,69500,Health
2012,Mauritania,public,2437.379857,Peace
2010,Hungary,public,131111.5287,"Labour, Economic Affairs, Science"
2001,Sweden,public,21643284.75,Humanitarian Law and Action
2012,Senegal,public,14624.69172,Peace
2017,European Respiratory Society (ERS),private,12000,Health
2013,Banque Lombard Odier & Cie SA,private,539430.1891,Humanitarian Law and Action
2011,United Arab Emirates,public,39964,Humanitarian Law and Action
2005,Nicaragua,public,4290,Health
2001,Lesotho,public,11812.52833,"Labour, Economic Affairs, Science"
2016,Chile,public,1010231.22,Peace
2018,Fondation Raoul Follereau,private,24000,Health
2010,Congo,public,3728.044522,"Labour, Economic Affairs, Science"
2018,Vital Strategies,private,179000,Health
2007,UN,public,21133.55427,Humanitarian Law and Action
2002,Liberia,public,1091.432402,Peace
2020,Chad,public,571098.3134,Health
2002,Holy See,public,6000,Humanitarian Law and Action
2002,Switzerland,public,3207.992778,Humanitarian Law and Action
2006,Gabon,public,40190,Health
2015,Chad,public,1479.66346,"Labour, Economic Affairs, Science"
2020,Belize,public,31233.52452,"Labour, Economic Affairs, Science"
2012,Netherlands,public,29376274,Humanitarian Law and Action
2017,Serbia,public,148640,Health
2007,Chile,public,1835819,Humanitarian Law and Action
2003,Angola,public,2654.075803,Peace
2012,Ireland,public,1213848.587,Peace
2010,Namibia,public,2416.325153,Humanitarian Law and Action
2017,Spain,public,1773750,Humanitarian Law and Action
2018,Pan American Development Foundation (PADF),private,1288,"Labour, Economic Affairs, Science"
2006,Bulgaria,public,149616.8181,"Labour, Economic Affairs, Science"
2013,Mali,public,10513.50202,Peace
2003,Denmark,public,227126.4047,Humanitarian Law and Action
2002,France,public,15814971.96,"Labour, Economic Affairs, Science"
2005,Algeria,public,310980,Health
2006,Rwanda,public,10230.94598,Humanitarian Law and Action
2012,United Kingdom,public,199045000,Health
2011,Kenya,public,28236.60629,Peace
2019,Morocco,public,356071.5454,"Labour, Economic Affairs, Science"
2020,Bahamas,public,51382.07243,Peace
2003,France,public,9289792.233,Humanitarian Law and Action
2013,Paraguay,public,95966,Humanitarian Law and Action
2016,NA,private,1192500,Humanitarian Law and Action
2018,Hilfsaktion Noma e.V.,private,45000,Health
2018,China,public,219499,Humanitarian Law and Action
2020,South Korea,public,6500000,Health
2004,Belize,public,19367.97545,"Labour, Economic Affairs, Science"
2019,Master Card Foundation,private,196568,"Labour, Economic Affairs, Science"
2016,Denmark,public,3067357,Health
2002,Seychelles,public,572.9475102,"Labour, Economic Affairs, Science"
2001,Romania,public,143325.3438,"Labour, Economic Affairs, Science"
2019,Thailand,public,99207.56711,Humanitarian Law and Action
2000,Pakistan,public,174854.6194,Humanitarian Law and Action
2009,Singapore,public,883175.6562,Peace
2019,Estonia,public,177052.1496,"Labour, Economic Affairs, Science"
2019,Brazil,public,414559.6337,Humanitarian Law and Action
2019,Azerbaijan,public,229608.3117,"Labour, Economic Affairs, Science"
2013,Djibouti,public,1536.297179,"Labour, Economic Affairs, Science"
2006,NA,private,24054289.89,"Labour, Economic Affairs, Science"
2013,Cyprus,public,13226,Humanitarian Law and Action
2019,Indonesia,public,1928709.215,"Labour, Economic Affairs, Science"
2007,Hungary,public,851098.7482,"Labour, Economic Affairs, Science"
2018,Lebanon,public,1300000,Health
2014,Lebanon,public,64096.42079,Humanitarian Law and Action
2016,Pakistan,public,386264,Health
2015,Fondation des immeubles pour les organisations internationales (FIPOI),private,122084.7045,Humanitarian Law and Action
2013,Brunei Darussalam,public,109316.6067,"Labour, Economic Affairs, Science"
2016,Honduras,public,204,Health
2016,Barbados,public,17821.41165,Peace
2016,Denmark,public,439303,Humanitarian Law and Action
2016,Iran,public,46254.59461,"Labour, Economic Affairs, Science"
2009,Ecuador,public,53448.63019,Peace
2000,Tanzania,public,11570,Health
2019,Marshall Islands,public,2837.221737,Peace
2010,Trinidad and Tobago,public,5462.620792,"Labour, Economic Affairs, Science"
2002,France,public,26804338,Health
2018,Individuals,private,5491639.593,Humanitarian Law and Action
2004,Guinea,public,5235.356539,Peace
2020,Fondation d'Harcourt,private,222500,Health
2016,CDC Foundation,private,57500,Health
2013,Cote d'Ivoire,public,3805.140554,Humanitarian Law and Action
2017,Portugal,public,911508,Humanitarian Law and Action
2005,Burundi,public,2162.511771,Peace
2010,Ghana,public,14912.17809,"Labour, Economic Affairs, Science"
2000,Denmark,public,731655.5202,Peace
2010,Somalia,public,1365.415483,"Labour, Economic Affairs, Science"
2002,Vietnam,public,948.9242638,Humanitarian Law and Action
2016,Bhutan,public,1445.107236,"Labour, Economic Affairs, Science"
2000,European Union,public,24534510.9,Humanitarian Law and Action
2010,Saudi Arabia,public,1806998.905,"Labour, Economic Affairs, Science"
2007,Dominica,public,22555.62054,"Labour, Economic Affairs, Science"
2010,Switzerland,public,4794.295938,Humanitarian Law and Action
2012,Venezuela,public,765358.4196,Peace
2002,Senegal,public,21053,Health
2004,Nigeria,public,73294.99154,Peace
2009,Bangladesh,public,174220.8278,"Labour, Economic Affairs, Science"
2017,NA,NA,7150000,Health
2019,Bolivia,public,45394.32674,Peace
2013,Madagascar,public,64.73162269,Humanitarian Law and Action
2016,Switzerland,public,1014.822497,Humanitarian Law and Action
2010,Morocco,public,1000000,Humanitarian Law and Action
2004,Monaco,public,5235.356539,Peace
2019,UN,public,229500,Health
2017,Niger,public,5138.131863,Peace
2017,Fondation d'Entreprise Sanofi Espoir,private,650000,Health
2008,Costa Rica,public,61143.65088,Peace
2003,Switzerland,public,67578950.3,Humanitarian Law and Action
2020,Solomon Islands,public,31233.52452,"Labour, Economic Affairs, Science"
2019,Belgium,public,458645.0655,"Labour, Economic Affairs, Science"
2014,Peru,public,212647260,Humanitarian Law and Action
2021,Potsdam Institute for Climate Impact Research (PIK),private,10500,Health
2002,Argentina,public,464972.8893,"Labour, Economic Affairs, Science"
2009,Pakistan,public,303592.7296,"Labour, Economic Affairs, Science"
2012,Caixa Geral de Depositos,private,9069,"Labour, Economic Affairs, Science"
2021,European Respiratory Society (ERS),private,22000,Health
2017,Austria,public,9368387,Humanitarian Law and Action
2006,Saint Kitts and Nevis,public,20780.11362,"Labour, Economic Affairs, Science"
2011,Iran,public,548260.4131,Peace
2020,UN,public,40114900,Humanitarian Law and Action
2012,Sweden,public,7504583,Humanitarian Law and Action
2013,Netherlands,public,85568687,Humanitarian Law and Action
2003,Qatar,public,54975,Humanitarian Law and Action
2019,Brazil,public,259212,Health
2003,Senegal,public,25126.03488,"Labour, Economic Affairs, Science"
2018,Mexico,public,801500.793,Humanitarian Law and Action
2009,UN,public,5960912,Humanitarian Law and Action
2014,Haiti,public,3917238,Humanitarian Law and Action
2020,NA,private,14601306.86,Humanitarian Law and Action
2004,Mongolia,public,2853.24601,"Labour, Economic Affairs, Science"
2016,Ecobank,private,250000,Health
2020,Ghana,public,54107.22179,"Labour, Economic Affairs, Science"
2018,Antigua and Barbuda,public,9570,Health
2007,Brunei Darussalam,public,56596.02668,Peace
2015,Japan,public,32378456.06,Peace
2018,Cambodia,public,83967.10036,"Labour, Economic Affairs, Science"
2012,Kuwait,public,3606762,Humanitarian Law and Action
